"","node_id","node_box_x_min","node_box_x_max","node_box_y_min","node_box_y_max"
"1","78220000170381",490934.999881623,491144.999882153,4942878.60183981,4943141.39746092
"2","78220000170391",490724.761371664,490935.238589976,4942884.94005742,4943184.77352951
"3","78220000170401",490544.775102864,490725.224918287,4942915.09800811,4943160.90144396
"4","78220000170411",490333.057381542,490546.942816493,4942816.07770875,4943227.92159258
"5","78220000170421",490155.399234782,490334.601108534,4942791.65022519,4943108.34922656
"6","78220000170431",489973.827755701,490156.172586529,4942719.07365003,4943044.92580174
"7","78220000170441",489794.137079574,489975.863141134,4942655.92548284,4942964.07396922
"8","78220000170451",489584.628393489,489795.371847669,4942605.92346921,4942898.07583218
"9","78220000170461",489405.291359244,489584.708780141,4942538.57288173,4942899.42657043
"10","78220000170471",489194.10881611,489405.891168104,4942521.71393636,4942889.71393636
"11","78220000170481",488984.167614668,489195.832407789,4942448.41969747,4942932.15103245
"12","78220000170491",488804.756198869,488985.243685763,4942518.31038763,4942883.68906421
"13","78220000170501",488594.999985483,488804.999986327,4942529.99965064,4942889.99965064
"14","78220000170511",488413.609028745,488596.391042975,4942523.29614145,4942884.70331069
"15","78220000170521",488204.405858835,488415.594093897,4942496.57107919,4942856.57107919
"16","78220000170541",487814.775062796,487995.224878551,4942529.09561094,4942768.90384103
"17","78220000170551",487604.999981164,487814.999982164,4942589.99965063,4942709.99965063
"18","78220000170561",487424.461243321,487605.538615484,4942584.51259349,4942727.48685824
"19","78220000170571",487197.831039693,487412.168843835,4942612.62659944,4942768.37252761
"20","78220000180011",487004.137058616,487185.863120539,4942532.96254737,4942791.03690475
"21","78220000180021",486823.827742435,487006.172573669,4942478.67003177,4942709.32942014
"22","78220000180031",486645.644904306,486824.355617817,4942386.74639835,4942591.25305278
"23","78220000180051",486279.824492088,486606.175838538,4942125.97515279,4942304.02461005
"24","78220000180061",486213.148573209,486584.85132985,4941943.29091088,4942126.70893763
"25","78220000180071",486293.212758964,486545.072875521,4941734.46442319,4941945.53542825
"26","78220000180081",486264.185233144,486607.814573001,4941552.49540594,4941737.50443511
"27","78220000180091",486345.604742971,486652.109154096,4941344.14749685,4941555.85230307
"28","78220000180101",486428.561904792,486679.437828627,4941164.37131087,4941345.62851336
"29","78220000180111",486507.165216319,486624.834897376,4940981.74580933,4941168.25402498
"30","78220000180121",486387.304744238,486565.495652583,4940824.50436054,4941002.69526991
"31","78220000180131",486220.532166058,486409.468332494,4940646.07607316,4940923.92337837
"32","78220000180141",486012.359173535,486227.640749028,4940474.57107931,4940954.57107931
"33","78220000180151",485834.4782541,486015.521712501,4940663.05246287,4940794.94698942
"34","78220000180161",485653.203188301,485836.797238633,4940586.96296857,4940767.03648327
"35","78220000180171",485505.054123697,485678.946184167,4940477.77574694,4940619.82396897
"36","78220000180181",485369.688249402,485678.883429939,4940264.3347119,4940475.66509378
"37","78220000180191",485314.361058444,485685.638735984,4940084.66362528,4940265.33621576
"38","78220000180201",485421.518702274,485635.623928797,4939874.44872653,4940085.55111282
"39","78220000180211",485410.682984926,485675.317074236,4939693.26164454,4939876.73819759
"40","78220000180221",485320.981997089,485604.161244434,4939504.29297144,4939706.56386374
"41","78220000180231",485112.070043113,485533.930238986,4939069.71705736,4939878.28243823
"42","78220000180241",484961.351333082,485328.648947168,4938979.61607099,4939814.38338149
"43","78220000180251",484846.915143392,485083.085351243,4939118.34516005,4939465.6542917
"44","78220000180261",484696.146983979,484873.853429655,4939070.95561721,4939287.0438349
"45","78220000180271",484511.818205929,484698.182080404,4939017.11326342,4939170.88618905
"46","78220000180281",484383.664683535,484510.735629041,4938919.26435783,4939046.33530237
"47","78220000180291",484243.635660722,484438.364640853,4938735.9751526,4938914.02460986
"48","78220000180301",484211.142814531,484379.142814531,4938523.51463143,4938736.48521688
"49","78220000180311",484235.029301125,484426.970332977,4938342.89566335,4938527.10413886
"50","78220000180321",484288.79974893,484557.59974819,4938169.19984602,4938370.799847
"51","78220000180341",484664.963471258,484845.036247824,4937927.44401494,4938210.55543689
"52","78220000180351",484844.639690305,485055.360177355,4937942.77041532,4938122.37174374
"53","78220000180361",485053.536532923,485236.463200937,4937941.15351637,4938092.84593554
"54","78220000180371",485232.762382183,485417.237107983,4937852.38659337,4938035.61285702
"55","78220000180381",485409.767874295,485552.231589101,4937717.38592022,4937890.61378314
"56","78220000180391",485418.897434414,485669.10239769,4937534.46123744,4937715.53860874
"57","78220000180401",485400.825939512,485644.317144184,4937324.04768746,4937535.95212603
"58","78220000180411",485334.623084431,485554.177238646,4937173.15590507,4937326.84381405
"59","78220000180441",484874.44956759,485055.550520408,4936789.10681836,4937102.89263467
"60","78220000180451",484663.783225857,484876.216782098,4936767.76044898,4937067.09599635
"61","78220000180461",484454.999961981,484664.999963559,4936739.99965116,4937099.99965116
"62","78220000180471",484274.66359551,484455.33618737,4936744.36088732,4937115.63856499
"63","78220000180481",484064.405841897,484275.594077708,4936765.71393685,4937125.71393685
"64","78220000180491",483884.663592424,484065.336184354,4936784.28553109,4937143.71392118
"65","78220000180501",483674.343348149,483885.656636649,4936775.83575358,4937143.02069168
"66","78220000180511",483464.761365018,483675.238584557,4936798.3686294,4937098.2021015
"67","78220000180521",483284.108767233,483465.89112003,4936759.99972632,4937131.99972632
"68","78220000180531",483074.116836272,483285.883241407,4936736.78888351,4937099.78184757
"69","78220000180541",482895.000029588,483075.000031231,4936702.65055938,4937071.34889357
"70","78220000180551",482684.448821384,482895.551209617,4936641.60871036,4937069.81916352
"71","78220000180561",482504.39825558,482685.601682377,4936631.63348594,4937028.36596682
"72","78220000180661",480675.201498059,480854.798756933,4935911.65755993,4936198.34189282
"73","78220000180671",480495.201489012,480674.798747924,4935860.4078209,4936087.59163188
"74","78220000180681",480313.995815615,480496.004398581,4935774.40782091,4936001.5916319
"75","78220000180691",480166.34833511,480313.651870232,4935723.97052583,4935864.82905388
"76","78220000180701",479971.722119203,480180.278306917,4935560.28003804,4935823.71943632
"77","78220000180711",479837.096029447,480066.904132769,4935463.52797663,4935616.4717791
"78","78220000180721",479677.645243157,480048.354882887,4935283.34627609,4935466.65352189
"79","78220000180731",479612.633603514,479975.937940493,4935075.16416657,4935284.83564694
"80","78220000180741",479619.821072797,479906.178855959,4934894.10930038,4935075.89054449
"81","78220000180751",479589.162237003,479843.409360549,4934683.88918305,4934896.1106132
"82","78220000180761",479496.086184834,479783.913958487,4934503.75818601,4934686.24160358
"83","78220000180771",479455.635610691,479650.364590623,4934325.20125286,4934504.79850963
"84","78220000180781",479352.347876242,479597.652304401,4934145.05157758,4934324.94819411
"85","78220000180791",479279.700100664,479540.299897404,4933964.91719111,4934145.08264121
"86","78220000180811",479231.37494774,479486.624618872,4933572.58392328,4933757.41588961
"87","78220000180821",479352.98489234,479569.414501229,4933378.69471703,4933635.70488103
"88","78220000180841",479742.016180066,479927.983247036,4933192.72557453,4933517.27387601
"89","78220000180851",479924.999693141,480074.999695027,4933176.40680812,4933307.59276875
"90","78220000170271",493015.951953596,493234.048411392,4943094.81591522,4943549.18353631
"91","78220000170281",492824.343809081,493035.656542493,4943039.94120096,4943449.77238579
"92","78220000170291",492645.000158582,492825.000158879,4942967.73485382,4943376.26459791
"93","78220000170301",492464.604830202,492645.39546349,4942895.88627008,4943306.11318173
"94","78220000170311",492284.137085757,492465.86314707,4942861.03656221,4943226.96288975
"95","78220000170381",490934.999881623,491144.999882153,4942878.60183981,4943141.39746092
"96","78220000170391",490724.761371664,490935.238589976,4942884.94005742,4943184.77352951
"97","78220000170401",490544.775102864,490725.224918287,4942915.09800811,4943160.90144396
"98","78220000170411",490333.057381542,490546.942816493,4942816.07770875,4943227.92159258
"99","78220000170421",490155.399234782,490334.601108534,4942791.65022519,4943108.34922656
"100","78220000170431",489973.827755701,490156.172586529,4942719.07365003,4943044.92580174
"101","78220000170441",489794.137079574,489975.863141134,4942655.92548284,4942964.07396922
"102","78220000170451",489584.628393489,489795.371847669,4942605.92346921,4942898.07583218
"103","78220000170461",489405.291359244,489584.708780141,4942538.57288173,4942899.42657043
"104","78220000170471",489194.10881611,489405.891168104,4942521.71393636,4942889.71393636
"105","78220000170481",488984.167614668,489195.832407789,4942448.41969747,4942932.15103245
"106","78220000170491",488804.756198869,488985.243685763,4942518.31038763,4942883.68906421
"107","78220000170501",488594.999985483,488804.999986327,4942529.99965064,4942889.99965064
"108","78220000170511",488413.609028745,488596.391042975,4942523.29614145,4942884.70331069
"109","78220000170521",488204.405858835,488415.594093897,4942496.57107919,4942856.57107919
"110","78220000170531",487994.339111391,488205.661141497,4942499.32791425,4942810.95710144
"111","78220000170551",487604.999981164,487814.999982164,4942589.99965063,4942709.99965063
"112","78220000170561",487424.461243321,487605.538615484,4942584.51259349,4942727.48685824
"113","78220000170571",487197.831039693,487412.168843835,4942612.62659944,4942768.37252761
"114","78220000180011",487004.137058616,487185.863120539,4942532.96254737,4942791.03690475
"115","78220000180021",486823.827742435,487006.172573669,4942478.67003177,4942709.32942014
"116","78220000180031",486645.644904306,486824.355617817,4942386.74639835,4942591.25305278
"117","78220000180041",486478.149705282,486639.850700069,4942268.09901719,4942471.90051083
"118","78220000180051",486279.824492088,486606.175838538,4942125.97515279,4942304.02461005
"119","78220000180061",486213.148573209,486584.85132985,4941943.29091088,4942126.70893763
"120","78220000180071",486293.212758964,486545.072875521,4941734.46442319,4941945.53542825
"121","78220000180081",486264.185233144,486607.814573001,4941552.49540594,4941737.50443511
"122","78220000180091",486345.604742971,486652.109154096,4941344.14749685,4941555.85230307
"123","78220000180101",486428.561904792,486679.437828627,4941164.37131087,4941345.62851336
"124","78220000180111",486507.165216319,486624.834897376,4940981.74580933,4941168.25402498
"125","78220000180121",486387.304744238,486565.495652583,4940824.50436054,4941002.69526991
"126","78220000180131",486220.532166058,486409.468332494,4940646.07607316,4940923.92337837
"127","78220000180141",486012.359173535,486227.640749028,4940474.57107931,4940954.57107931
"128","78220000180151",485834.4782541,486015.521712501,4940663.05246287,4940794.94698942
"129","78220000180161",485653.203188301,485836.797238633,4940586.96296857,4940767.03648327
"130","78220000180171",485505.054123697,485678.946184167,4940477.77574694,4940619.82396897
"131","78220000180181",485369.688249402,485678.883429939,4940264.3347119,4940475.66509378
"132","78220000180211",485410.682984926,485675.317074236,4939693.26164454,4939876.73819759
"133","78220000180221",485320.981997089,485604.161244434,4939504.29297144,4939706.56386374
"134","78220000180231",485112.070043113,485533.930238986,4939069.71705736,4939878.28243823
"135","78220000180241",484961.351333082,485328.648947168,4938979.61607099,4939814.38338149
"136","78220000180251",484846.915143392,485083.085351243,4939118.34516005,4939465.6542917
"137","78220000180261",484696.146983979,484873.853429655,4939070.95561721,4939287.0438349
"138","78220000180271",484511.818205929,484698.182080404,4939017.11326342,4939170.88618905
"139","78220000180281",484383.664683535,484510.735629041,4938919.26435783,4939046.33530237
"140","78220000180291",484243.635660722,484438.364640853,4938735.9751526,4938914.02460986
"141","78220000180301",484211.142814531,484379.142814531,4938523.51463143,4938736.48521688
"142","78220000180311",484235.029301125,484426.970332977,4938342.89566335,4938527.10413886
"143","78220000180321",484288.79974893,484557.59974819,4938169.19984602,4938370.799847
"144","78220000180341",484664.963471258,484845.036247824,4937927.44401494,4938210.55543689
"145","78220000180351",484844.639690305,485055.360177355,4937942.77041532,4938122.37174374
"146","78220000180361",485053.536532923,485236.463200937,4937941.15351637,4938092.84593554
"147","78220000180371",485232.762382183,485417.237107983,4937852.38659337,4938035.61285702
"148","78220000180381",485409.767874295,485552.231589101,4937717.38592022,4937890.61378314
"149","78220000180391",485418.897434414,485669.10239769,4937534.46123744,4937715.53860874
"150","78220000180401",485400.825939512,485644.317144184,4937324.04768746,4937535.95212603
"151","78220000180411",485334.623084431,485554.177238646,4937173.15590507,4937326.84381405
"152","78220000180421",485190.9347139,485439.065839092,4936974.72253505,4937201.2770422
"153","78220000180431",485054.963682428,485235.036458932,4936834.92548329,4937143.07396975
"154","78220000180441",484874.44956759,485055.550520408,4936789.10681836,4937102.89263467
"155","78220000180451",484663.783225857,484876.216782098,4936767.76044898,4937067.09599635
"156","78220000180461",484454.999961981,484664.999963559,4936739.99965116,4937099.99965116
"157","78220000180471",484274.66359551,484455.33618737,4936744.36088732,4937115.63856499
"158","78220000180481",484064.405841897,484275.594077708,4936765.71393685,4937125.71393685
"159","78220000180491",483884.663592424,484065.336184354,4936784.28553109,4937143.71392118
"160","78220000180501",483674.343348149,483885.656636649,4936775.83575358,4937143.02069168
"161","78220000180511",483464.761365018,483675.238584557,4936798.3686294,4937098.2021015
"162","78220000180521",483284.108767233,483465.89112003,4936759.99972632,4937131.99972632
"163","78220000180531",483074.116836272,483285.883241407,4936736.78888351,4937099.78184757
"164","78220000180541",482895.000029588,483075.000031231,4936702.65055938,4937071.34889357
"165","78220000180551",482684.448821384,482895.551209617,4936641.60871036,4937069.81916352
"166","78220000180561",482504.39825558,482685.601682377,4936631.63348594,4937028.36596682
"167","78220000180571",482294.877325465,482505.122864573,4936639.40206085,4936948.59724172
"168","78220000180581",482114.961835399,482295.038316873,4936572.2853166,4936899.7141363
"169","78220000180591",481934.961842807,482115.038324318,4936514.98975366,4936833.00969924
"170","78220000180601",481745.18800275,481944.812354346,4936433.64609821,4936766.35335429
"171","78220000180611",481572.152430047,481757.847766552,4936273.88055338,4936738.11889949
"172","78220000180621",481367.816546064,481602.183734301,4936199.64665833,4936650.35279439
"173","78220000180631",481187.816544119,481422.183732323,4936109.64665832,4936560.3527944
"174","78220000180641",481025.552560526,481254.447665986,4936063.52662986,4936415.67294987
"175","78220000180651",480854.568664192,481065.431661653,4935991.47646522,4936285.09426585
"176","78220000180661",480675.201498059,480854.798756933,4935911.65755993,4936198.34189282
"177","78220000180671",480495.201489012,480674.798747924,4935860.4078209,4936087.59163188
"178","78220000180681",480313.995815615,480496.004398581,4935774.40782091,4936001.5916319
"179","78220000180691",480166.34833511,480313.651870232,4935723.97052583,4935864.82905388
"180","78220000180701",479971.722119203,480180.278306917,4935560.28003804,4935823.71943632
"181","78220000180711",479837.096029447,480066.904132769,4935463.52797663,4935616.4717791
"182","78220000180721",479677.645243157,480048.354882887,4935283.34627609,4935466.65352189
"183","78220000180731",479612.633603514,479975.937940493,4935075.16416657,4935284.83564694
"184","78220000180741",479619.821072797,479906.178855959,4934894.10930038,4935075.89054449
"185","78220000180841",479742.016180066,479927.983247036,4933192.72557453,4933517.27387601
"186","78220000180851",479924.999693141,480074.999695027,4933176.40680812,4933307.59276875
"187","78220000180071",486293.212758964,486545.072875521,4941734.46442319,4941945.53542825
"188","78220000180081",486264.185233144,486607.814573001,4941552.49540594,4941737.50443511
"189","78220000180091",486345.604742971,486652.109154096,4941344.14749685,4941555.85230307
"190","78220000180101",486428.561904792,486679.437828627,4941164.37131087,4941345.62851336
"191","78220000180111",486507.165216319,486624.834897376,4940981.74580933,4941168.25402498
"192","78220000180121",486387.304744238,486565.495652583,4940824.50436054,4941002.69526991
"193","78220000180131",486220.532166058,486409.468332494,4940646.07607316,4940923.92337837
"194","78220000180141",486012.359173535,486227.640749028,4940474.57107931,4940954.57107931
"195","78220000180151",485834.4782541,486015.521712501,4940663.05246287,4940794.94698942
"196","78220000180161",485653.203188301,485836.797238633,4940586.96296857,4940767.03648327
"197","78220000180171",485505.054123697,485678.946184167,4940477.77574694,4940619.82396897
"198","78220000180181",485369.688249402,485678.883429939,4940264.3347119,4940475.66509378
"199","78220000180191",485314.361058444,485685.638735984,4940084.66362528,4940265.33621576
"200","78220000180201",485421.518702274,485635.623928797,4939874.44872653,4940085.55111282
"201","78220000180211",485410.682984926,485675.317074236,4939693.26164454,4939876.73819759
"202","78220000180221",485320.981997089,485604.161244434,4939504.29297144,4939706.56386374
"203","78220000180231",485112.070043113,485533.930238986,4939069.71705736,4939878.28243823
"204","78220000180241",484961.351333082,485328.648947168,4938979.61607099,4939814.38338149
"205","78220000180251",484846.915143392,485083.085351243,4939118.34516005,4939465.6542917
"206","78220000180261",484696.146983979,484873.853429655,4939070.95561721,4939287.0438349
"207","78220000180271",484511.818205929,484698.182080404,4939017.11326342,4939170.88618905
"208","78220000180281",484383.664683535,484510.735629041,4938919.26435783,4939046.33530237
"209","78220000180291",484243.635660722,484438.364640853,4938735.9751526,4938914.02460986
"210","78220000180301",484211.142814531,484379.142814531,4938523.51463143,4938736.48521688
"211","78220000180311",484235.029301125,484426.970332977,4938342.89566335,4938527.10413886
"212","78220000180321",484288.79974893,484557.59974819,4938169.19984602,4938370.799847
"213","78220000180341",484664.963471258,484845.036247824,4937927.44401494,4938210.55543689
"214","78220000180351",484844.639690305,485055.360177355,4937942.77041532,4938122.37174374
"215","78220000180361",485053.536532923,485236.463200937,4937941.15351637,4938092.84593554
